"","x","y","test","fitted","forecast","upper_ci","lower_ci"
"1",2011-01-01,985,0,982.707904315808,NA,NA,NA
"2",2011-01-02,801,0,798.339824374735,NA,NA,NA
"3",2011-01-03,1349,0,1346.08077212473,NA,NA,NA
"4",2011-01-04,1562,0,1559.02856563587,NA,NA,NA
"5",2011-01-05,1600,0,1597.27089939448,NA,NA,NA
"6",2011-01-06,1606,0,1603.43606390991,NA,NA,NA
"7",2011-01-07,1510,0,1506.71994591191,NA,NA,NA
"8",2011-01-08,959,0,956.110582366158,NA,NA,NA
"9",2011-01-09,822,0,819.186402266387,NA,NA,NA
"10",2011-01-10,1321,0,1317.96158197398,NA,NA,NA
"11",2011-01-11,1263,0,1259.52974492485,NA,NA,NA
"12",2011-01-12,1162,0,1159.02603026646,NA,NA,NA
"13",2011-01-13,1406,0,1402.99114703824,NA,NA,NA
"14",2011-01-14,1421,0,1418.4318540576,NA,NA,NA
"15",2011-01-15,1248,0,1245.39336141408,NA,NA,NA
"16",2011-01-16,1204,0,1201.53989705849,NA,NA,NA
"17",2011-01-17,1000,0,996.298605312261,NA,NA,NA
"18",2011-01-18,683,0,680.021475452918,NA,NA,NA
"19",2011-01-19,1650,0,1646.38005266453,NA,NA,NA
"20",2011-01-20,1927,0,1923.33479990899,NA,NA,NA
"21",2011-01-21,1543,0,1539.8612724513,NA,NA,NA
"22",2011-01-22,981,0,978.791776168223,NA,NA,NA
"23",2011-01-23,986,0,983.174101297622,NA,NA,NA
"24",2011-01-24,1416,0,1412.83721529716,NA,NA,NA
"25",2011-01-25,1985,0,1981.05802660824,NA,NA,NA
"26",2011-01-26,506,0,502.216003077544,NA,NA,NA
"27",2011-01-27,431,0,429.326961984792,NA,NA,NA
"28",2011-01-28,1167,0,1163.88250627723,NA,NA,NA
"29",2011-01-29,1098,0,1095.95791033663,NA,NA,NA
"30",2011-01-30,1096,0,1093.63264198766,NA,NA,NA
"31",2011-01-31,1501,0,1497.16838402569,NA,NA,NA
"32",2011-02-01,1360,0,1356.52371443074,NA,NA,NA
"33",2011-02-02,1526,0,1522.18866685736,NA,NA,NA
"34",2011-02-03,1550,0,1547.00736875143,NA,NA,NA
"35",2011-02-04,1708,0,1704.57121966846,NA,NA,NA
"36",2011-02-05,1005,0,1002.13721846938,NA,NA,NA
"37",2011-02-06,1623,0,1620.3281553057,NA,NA,NA
"38",2011-02-07,1712,0,1709.17365989183,NA,NA,NA
